,,Accuracy,AUC,F1,Recall,Precision
SVC_Raw_HOG_features,train,0.9596690796277145,0.9075829383886256,0.8981723237597911,0.8151658767772512,1.0
SVC_Raw_HOG_features,test,0.7831325301204819,0.5,0.0,0.0,0.0
SVC_PCA_HOG_features,train,0.9255429162357808,0.8293838862559242,0.7942857142857143,0.6587677725118484,1.0
SVC_PCA_HOG_features,test,0.7831325301204819,0.5,0.0,0.0,0.0
SVC_Viola_Jones_HOG_features,train,0.8304033092037229,0.5,0.3643410852713178,0.22274881516587677,1.0
SVC_Viola_Jones_HOG_features,test,0.7831325301204819,0.5,0.0,0.0,0.0
SVC_PCA_Viola_Jones_HOG_features,train,0.8304033092037229,0.6113744075829384,0.3643410852713178,0.22274881516587677,1.0
SVC_PCA_Viola_Jones_HOG_features,test,0.7831325301204819,0.5,0.0,0.0,0.0
DenseNet_Raw_HOG_features,train,1.0,1.0,1.0,1.0,1.0
DenseNet_Raw_HOG_features,test,0.7975903614457831,0.5574358974358975,0.2222222222222222,0.13333333333333333,0.6666666666666666
DenseNet_PCA_HOG_features,train,1.0,1.0,1.0,1.0,1.0
DenseNet_PCA_HOG_features,test,0.8144578313253013,0.5963247863247864,0.33043478260869563,0.2111111111111111,0.76
DenseNet_Viola_Jones_HOG_features,train,0.781799379524302,0.5,0.0,0.0,0.0
DenseNet_Viola_Jones_HOG_features,test,0.7831325301204819,0.5,0.0,0.0,0.0
DenseNet_PCA_Viola_Jones_HOG_features,train,0.8366080661840745,0.6255924170616114,0.4015151515151515,0.25118483412322273,1.0
DenseNet_PCA_Viola_Jones_HOG_features,test,0.7855421686746988,0.5055555555555555,0.02197802197802198,0.011111111111111112,1.0
